tweet,autoridades,emojis,caixa_alta,hashtags,termos_tecnicos,repeticoes_pontuacao,verbos_primeira_pessoa,pronomes_primeira_pessoa
@_Janoninho @Paulinha_Carioc VEJA O BOLSOLÃO! Como Bolsonaro compra deputado! Ele queria ver índio ser cozinhado e ainda comeria CARNE HUMANA !!! Vá na minha página e DIVULGUE! VAMOS TACAR O DEDO MINHA GENTE! Bolsonaro na cadeia já! Bolsonaro presidiário ! Rachadinha e Compra de imóveis com dinheiro vivo! https://t.co/GxdMP4e7Wr,"@_janoninho @paulinha_carioc veja, Bolsonaro, Humana !!!, Divulgue, Gente!, Bolsonaro",,"VEJA, O, BOLSOLÃO, CARNE, HUMANA, DIVULGUE, VAMOS, TACAR, O, DEDO, MINHA, GENTE",,,"""!"": 0",,
"Minha mãe nossa Bolsonaro come gente “ eu sim conta para suas amiga, e cuidado para ele não te morder por aí “
Ela : 😮😮😮😮",Bolsonaro,"😮, 😮, 😮, 😮",,,,,,eu
"@RodrigoPork33 @albuquerque_af Diferença de 6M, se a pesquisa estiver correta dá p Bolsonaro “empatar” só com os votos do estado de SP. Somados os demais estados do Sudeste, ou seja, ganhando em MG com vantagem de 300/400 e tbm no sul (o q é provável), tá eleito. Bolsonaro precisa de 12/13M de votos no 2turno.","@rodrigopork33 @albuquerque_af, Sp, Sudeste, Mg, Bolsonaro, M",,"M, SP, MG, M",,,,,
A família Bolsonaro https://t.co/BVkCnTsjPS,Bolsonaro,,,,,,,
"Será que as pessoas normais, digo, os que não não presidiários assassinos, ladrões, assaltantes, traficantes de drogas pessoas,órgãos , não conseguem enxergar o risco que o país está correndo?
Pelas próximas gerações e por todos nós,Votem Bolsonaro.
🙏🇧🇷🙏 https://t.co/nca6KqD0sD",Votem bolsonaro,"🙏, 🙏",,,,,digo,nós
"@mcrisportugal @mfriasoficial Muito mais cristão que Bolsonaro que conseguiu nos dividir em cristão e evangelicos,Lul um homem de principios que prega a união incentivando aquilo que O Cristo nos pediu que é amar ao próximo, enquanto outro prega metralhar adversário.","@mcrisportugal @mfriasoficial, Bolsonaro, Lul, O cristo",,O,,,,,"nos, nos"
@pastorhenriquev O Bozo é o Anti-Cristo: um Lobo em Pele de Cordeiro.,"Bozo, Anti-cristo, Lobo em pele de cordeiro",,O,,,,,
"@gerobonini @marciatiburi Com todos os erros de Bolsonaro, que não são poucos, ainda é muito melhor arrisca nele do que ser passivo no segundo turno. Não votei nele no primeiro turno, mas sou Bolsonaro de carteirinha para o PT não voltar ao poder !!","@gerobonini @marciatiburi, Bolsonaro, Bolsonaro, Pt",,PT,,,"""!"": 0",,
@LipeChancela @miriamleitao Na verdade a Globo ama o Bolsonaro. Enquanto ele distrai a plateia a boiada passa com muitos interesses da Globo,"Globo, Bolsonaro, Globo",,,,,,,
@viclucchesi @knalquestionese BOLSONARO TEM QUE IR NO MESMO LOCAL... E MOSTRAR A DIFERENÇA!!,,,"BOLSONARO, TEM, QUE, IR, NO, MESMO, LOCAL, E, MOSTRAR, A, DIFERENÇA",,,"""!"": 0",,
@nikolas_dm Tá parecendo até o Bolsonaro e sua equipe né,Bolsonaro,,,,,,,
"@MichelleCosta80 @CarlaSv22 Já pode levantar então , pois @RomarioOnze é Bolsonaro https://t.co/jsi0l7353E","@michellecosta80, Bolsonaro",,,,,,,
@brom_elisa De quanto foi o cheque em branco mesmo do Orçamento Secreto que Bolsonaro deu pro Centrão🤔?,"@brom_elisa, Orçamento secreto, Bolsonaro, Centrão",🤔,,,,,,
"Petista não é burro, é mal-intencionado mesmo.
O único segredo do ""orçamento secreto"" é que foi o parlamento mesmo que derrubou o VETO que o Presidente Bolsonaro aplicou.
Mas já sabem, só teimam em tentar convencer que a associação terrorista travestida de partido não teve a ver. https://t.co/TAUYVcR1Wc","Petista, Veto, Presidente bolsonaro",,"O, VETO",,malintencionado,,,
"@PauloMartins10 Bolsonaro queria invadir o STF e o congresso. E dar golpe!! Kkkk

Corruptos golpistas e antidemocraticos. É a direita chavista brasileira.","Bolsonaro, Stf",,"STF, E, É",,,"""!"": 0",,
@BolsonaroSP Concordo! O Brasil está correndo um risco enorme de passar mais 4 anos sendo governado por uma família miliciana e um presidente que além de miliciano é GENOCIDA https://t.co/NnYzYScPlx,"@bolsonarosp concordo, Brasil",,"O, GENOCIDA",,,,concordo,
@andre_barcinski Capitão Moldávia. Isso é nome de quadrinhos Marvel na Romênia...,"@andre_barcinski, Capitão moldávia, Marvel, Romênia",,,,"croácia, marcel, roménia",,,
"O cara falando no comercial que conseguiu 30 votos pro Bozo. Comprou os funcionários, foi querida? Isso dá cadeia hein... O que esperar de minions do Bolsonaro?","Bozo, Bolsonaro",,O,,,,,
@ArleiHideki Obra do Tarcisio e Bolsonaro?,"@arleihideki obra do tarcisio, Bolsonaro",,,,,,,
"URGENTE: Ditador da Venezuela declara apoio ao Lula e diz que Bolsonaro pode acabar com os ditadores comunistas. Ele teme que Bolsonaro impeça a América Latina de virar socialista
#BolsonaroReeleito
#ContraACensuraDoPT
#MENINODOMEP
#GloboLixo
#Bolsonaro22
#bolsonaro2022 https://t.co/AwdcHeM6Pq","Lula, Bolsonaro, Bolsonaro, América, Bolsonaroreeleito, Meninodomep, Bolsonaro22",,"URGENTE, MENINODOMEP","#bolsonaro2022, #MENINODOMEP, #ContraACensuraDoPT, #BolsonaroReeleito, #Bolsonaro22, #GloboLixo","américa, venezuela",,,
Apostar em Lula ou Bolsonaro no bolão?,"Lula, Bolsonaro",,,,,,,
"@Seneguini @mb_vinicios1 @OliverStuenkel ""Assim como os demais senadores do PT, ele votou pela manutenção do veto de Jair Bolsonaro ao orçamento secreto. Essa posição foi majoritária. Mas as emendas de relator acabaram entrando em vigor graças a um acordo de Bolsonaro com o Centrão em favor de um projeto em separado"" + https://t.co/uYAzPF7JEQ","Pt, Jair bolsonaro, Bolsonaro, Centrão",,PT,,,,,
"SEGUNDO TURNO VAMOS POR LULA E PT EM SEUS DEVIDOS LUGARES, 
BOLSONARO REELEITO 🇧🇷🇧🇷🇧🇷
22 NELES 🇧🇷🇧🇷🇧🇷🇧🇷 https://t.co/IHfpYBfzPa","Pt, Reeleito, Neles",,"SEGUNDO, TURNO, VAMOS, POR, LULA, E, PT, EM, SEUS, DEVIDOS, LUGARES, BOLSONARO, REELEITO, NELES",,,,vamos,
"MISSÃO DO DIA DA CAMPANHA DO LULA:
Espalhar a verdade é conquistar novos votos!
Compartilhe MUITO o vídeo dos 17 casos de corrupção do Capitão Mamata.
FALTAM 3 DOMINGOS PARA ELEGER LULA.
Quer outro tipo de material? 
Acesse 
https://t.co/hsqlQFvfUK","Compartilhe muito, Capitão mamata, Faltam 3 domingos para",,"MISSÃO, DO, DIA, DA, CAMPANHA, DO, LULA, MUITO, FALTAM, DOMINGOS, PARA, ELEGER, LULA",,,,,
"@maiamiranda @DaniMYGonzalez Sérgio foca no Bolsonaro, porque uma vez falei a verdade sobre um desses , fui bloqueada, fica a dica pelo amor de Deus","@danimygonzalez sérgio, Bolsonaro, Deus",,,,sérgio,,falei,
essa propagandas do bolsonaro pro nordeste me dão nojo,Bolsonaro,,,,,,,me
"@aleestefan Uma vizinha votou no Bolsonaro, depois do vídeo da maçonaria ela é Lula.","Bolsonaro, Maçonaria, Lula",,,,,,,
"@QuebrandoOTabu Só assistindo os Bolsominions desesperados produzindo e compartilhando vídeos pra tentar enganar a tiazinha da igreja dizendo que o Lula vai fechar as igrejas, caso seja eleito. Muitos cristãos mentindo e idolatrando o Bozo achando que estão agradando a Deus.","@quebrandootabu, Bolsominions, Lula, Bozo, Deus",,,,,,,
"O vídeo que vai acabar de vez com a campanha do Tarcísio.

BOLSONARO É COLLOR
COLLOR É BOLSONARO

E o Tarcísio é COLLOR E BOLSONARO!
https://t.co/9JRYYxE3ju","Tarcísio, Bolsonaro, Tarcísio",,"BOLSONARO, É, COLLOR, COLLOR, É, BOLSONARO, E, COLLOR, E, BOLSONARO",,tarcísio,,,
"@matheusfelipper @klebresende @DPornaro @CaboDaciolo @PDT_Nacional @CarlosLupiPDT @cirogomes @AnaPaulaMatosBA @MigVecchio @todoscomciro @cristaostrabpdt Se o expulsarem , eu saio...

Voto contra Bolsonaro...mas expulsar quem vota nulo ??? Aí já é demais!!!","@matheusfelipper @klebresende, @cirogomes @anapaulamatosba, Bolsonaro",,,,,"""?"": 0, ""!"": 0",saio,eu
tudo culpa do bolsonaro 😭😭 https://t.co/441C7Qg5iR,Bolsonaro,"😭, 😭",,,,,,
"@REGIROCHA09 @MoscaDaTuaSopa Bolsonaro tem culpa sim, não pelo vírus, mais por ter subestimado, por não ter agido rapidamente quando pode , por ter feito chacota, por ter divulgado tratamento ineficaz, por não ter comprado as vacinas quando lhe foi ofertado, ele tem culpa sim.",,,@REGIROCHA09,,,,,
"@frutafl0r @jcristianod @cirogomes Manifestação com MBL? Não.. obrigado.. não queríamos mesmo. Sempre dissemos que eles votariam no Bozo… me enganei? 
No mais, o PT articulou outras manifestações em conjunto.. junto com pdt inclusive.","@frutafl0r @jcristianod @cirogomes, Bozo, Pt, Pdt",,"MBL, PT",,,,"queríamos, dissemos",me
@LulaOficial No Governo  do Bolsonaro  🇧🇷🇧🇷2️⃣2️⃣ só tivemos coisas boas população  brasileira https://t.co/YFC25ZmxlM,"Governo, Bolsonaro",,,,,,tivemos,
"@lucinealvess @luizfn87 Nenhum governo brasileiro na história pegou uma pandemia e uma guerra ao mesmo tempo. Com todos os defeitos do Bolsonaro (e tem muitos), ele evitou o Brasil de quebrar (pessoalmente, eu achei que quando a pandemia começou, o país quebraria, como ao que ocorreu na Argentina).","@lucinealvess @luizfn87, Bolsonaro, Brasil, Argentina",,,,,,achei,eu
"@zoemartinez_05 @tarcisiogdf @jairbolsonaro Quem apoia incondicionalmente o Bolsonaro o ajudou a:

- Baixar ainda mais o nível do debate;
- Acabar com a Lava Jato;
- Viabilizar a elegibilidade do Lula e sua quadrilha;
- Blindar corruptos.
- Matar na pandemia;
- Isolar o país como nunca antes. 
https://t.co/d1WBmPDg59","Bolsonaro, Acabar com a, Lava jato, Lula, Blindar corruptos",,,,,,,
"@augustodefranco Quem semeia Lula, colhe Bolsonaro. Foi assim em 18, será assim agora.",Bolsonaro,,,,,,,
@_Fora_Bolsonaro BOLSOLÃO É A CORRUPÇÃO DO BOLSONARO!,A corrupção do bolsonaro,,"BOLSOLÃO, É, A, CORRUPÇÃO, DO, BOLSONARO",,,,,
"@hilde_angel Bolsonaro, Deflação,  água para o Nordeste, redução dos combustiveis ,diminuição do desemprego de 15 para 8% ,crescimento do PIB, marco ferroviário, marco saneamento   vacinas e ainda sobra dinheiro?será que não é  uma distrofia lateral kkk","@hilde_angel bolsonaro, Deflação, Nordeste",,PIB,,,,,
"@ChamonNajla @LulaOficial Não, quero saber de você que afirmou que os participantes da caminhada receberam 150,00. 
Eu não recebi, meus amigos não receberam, nem os amigos dos amigos deles e assim sucessivamente.
O problema de vocês é a mentira! Mas pode se conformar: O BRASIL NÃO AGUENTA MAIS O BOLSONARO","@chamonnajla, Brasil não aguenta, Bolsonaro",,"O, O, BRASIL, NÃO, AGUENTA, MAIS, O, BOLSONARO",,,,"quero, recebi",eu
"@NourAndMe @normithingz @laabooks @xrsce @abeIish @updatecharts O Álbum quebrou vários recordes e você vêem com esse discurso, sai do fake Bolsonaro",Bolsonaro,,O,,,,,
@gustavoplinio67 Mais um motivo para votar no Bolsonaro.,"@gustavoplinio67, Bolsonaro",,,,,,,
"@LulaOficial Ué!? Mentindo de novo!? Não ia tirar o ""sigilo de 100anos"" do nosso presidente Bolsonaro? Kkkkkkkkkkkkk mudou de idéia? Tá tentando enganar alguém? #BolsonaroPresidente #BolsonaroReeleito2022 #Bolsonaro22","Ué!?, Bolsonaro, Bolsonaro22",,,"#BolsonaroPresidente, #Bolsonaro22, #BolsonaroReeleito2022",,,,
@ptbrasil Estou com o Bolsonaro,"@ptbrasil, Bolsonaro",,,,,,,
Apoiador de Lula mata a facadas amigo apoiador de Bolsonaro no litoral de SP | Jornal Nacional | G1 https://t.co/G21xyxpQ16,"Apoiador de lula, Bolsonaro, Sp",,"SP, G1",,,,,
"@camilolcc @juniormelorn_ @liberal22_rs @jairbolsonaro Tem muita gente (prefeitos e outros políticos) debandando pro lado de Bolsonaro.
Vai ser uma lavada!",Bolsonaro,,,,,,,
"@senadorhumberto Quanto custa na sua cidade o litro da gasolina, do etanol, do leite, da cesta básica... abaixou pós pandemia!!! Então, foi o Presidente que conseguiu essas baixas de preços e não vai ser o 'L'adrão que vai te dar picanha e, sim, é o seu trabalho garantido pelo Bolsonaro e Guedes!","Pandemia!!, Presidente, L'adrão, Bolsonaro, Guedes",,,,,"""!"": 0",,
@jairmearrependi jairme vou contar uma piada: bolsonaro fez uma musiquinha dizendo que a mamata acabou no governo dele https://t.co/rhv56QJePo,"Bolsonaro, Mamata",,,,jaime,,,
@institutopapo10 Galera tá forçando essa eleição cair no colo do Bozo. Pqp,"@institutopapo10 galera, Bozo",,,,,,,
"@fabiofaria No PT chegou a 170 no máximo. Por que nas regiões onde estão concentradas a maior parte das pessoas que recebem o Auxílio Brasil, o Presidente Bolsonaro saiu derrotado? Desejam a volta do Auxílio Brasil para 180 reais?","@fabiofaria, Pt, Auxílio brasil, Presidente bolsonaro, Auxílio brasil",,PT,,,,,
Esse conhece bem o tal bolsonaro. Burro e corrupto. https://t.co/HPcywRcuNl,,,,,,,,
"@rafaelarezender @o_antagonista Eu quanto mulher que sou, mãe tenho desprezo por Bolsonaro!!","@rafaelarezender @o_antagonista, Bolsonaro",,,,,"""!"": 0",tenho,eu
"@AndreJanonesAdv AGORA É LULA13!!! 
Aí gados o bozo prometeu por o Collor  de Melo como minisdele pra confiscar o salário de todos os aposentados no Brasil e aí vai votar nisso aí????????? https://t.co/87if1J7MkZ","@andrejanonesadv agora, Bozo, Collor  de melo, Minisdele, Brasil",,"AGORA, É, LULA13",,,"""!"": 0, ""?"": 0",,
@taliriapetrone BOLSOLÃO É A CORRUPÇÃO DO BOLSONARO!,"Bolsolão, A corrupção do bolsonaro",,"BOLSOLÃO, É, A, CORRUPÇÃO, DO, BOLSONARO",,,,,
@clovis_viana @helmut_oliveira @mariosabinof Seria isso um novo Plano Collor junto de Bolsonaro? Nossa pessoal é bom tirar o dinheiro da poupança no dia 3 se acaso Bolsonaro vencer. Rsrsr,"Plano collor, Bolsonaro, Bolsonaro, Rsrsr",,,,rsrsr,,,
"@andrebnu voce concorda que bolsonaro é um herói nacional por ter matado 700 mil pessoas,","@andrebnu voce, Bolsonaro",,,,,,,
"@77_frota Foi no governo dele que se criou estas oportunidade, e foram muiit bem aproveitadas... Água do nordeste certamente foi ele, lembre que PT ficou 14 anos no poder e não fez e custou uma fortuna em dinheiro para os brasileiros... Bolsonaro entrou e fez!!! Sua opinião sempre fede kkk","@77_frota, Água do nordeste, Pt, Bolsonaro",,PT,,,"""!"": 0",,
"Bolsonaro foi esfaqueado ainda pré-candidato; é constantemente atacado desde q é Pres. do Brasil. Acha q ele não será ainda mais atacado e perseguido, até mesmo preso!, caso ele perca o cargo p/ seus algozes? Não cometa injustiça, não vote e seja cúmplice de ladrões e traidores.","Bolsonaro, Pres, Brasil",,,,,,,
@Estadao @EstadaoEconomia É o Bolsonaro que quer controlar a mídia e as rede sociais né?  É ele quer arrebentar com o teto de gastos? É ele que arrebentou com as estatais?,Bolsonaro,,"É, É, É",,,,,
@MaisaRuiva_ Não iria sobrar eleitor do Bolsonaro então.,"@maisaruiva, Bolsonaro",,,,,,,
"@JoaoLoque O lula atacando o Zema, praticamente o ameacando por apoiar o Bolsonaro não é nd não tmb kkkk","@joaoloque, Zema, Bolsonaro, Tmb kkkk",,O,,,,,
"Bolsonaro acabou com a Lava Jato, manteve a corrupção em um governo sem transparência, e facilitou a soltura do Lula, mas isso não é importante agora, segundo Moro e Dallagnol.","Bolsonaro, Lava jato, Lula, Moro, Dallagnol",,,,dirceu,,moro,
@peixeixperto @RandomMonkey5 Se vê que pensa kkkkkkk 😂 o que o Bolsonaro tem a ver com a ex mulher que já está casada com outro? KKKKKKKKKK 🤣🤣🤣🤣🤣🤣 VOCÊS SÃO MUITO BURROS 😂😂 O marido atual compra e a culpa é do Bolsonaro KKKKKKKKKKKKKKKKK,"@peixeixperto, Bolsonaro, Kkkkkkkkkk, Vocês são muito burros, Bolsonaro kkkkkkkkkkkkkkkkk","😂, 🤣, 🤣, 🤣, 🤣, 🤣, 🤣, 😂, 😂","KKKKKKKKKK, VOCÊS, SÃO, MUITO, BURROS, O, KKKKKKKKKKKKKKKKK",,,,,
Ciristas votando em massa em Bolsonaro. Quem poderia imaginar?,Bolsonaro,,,,,,,
@ygfelipee @CSMelissa @raphael_ottawa @Rodrigofla13_ @_rgarcias Nada q bolsonaro não faça também https://t.co/nPY3Rtc18q,@ygfelipee,,,,,,,
@mbkppe Quem foi o mito kkkkk,@mbkppe,,,,,,,
"JANONES EU AUTORIZO 
MEU PRESIDENTE É LUIZ INÁCIO LULA DA SILVA 
BOLSONARO CORRUPTO 
BOLSONARO É DESORDEM 
BOLSONARISMO DESTRÓI FAMÍLIAS 
#LulaPresidente1️⃣3️⃣ #ForaBolsonaroCorrupto","Janones eu autorizo, Luiz inácio lula da silva, Famílias",,"JANONES, EU, AUTORIZO, MEU, PRESIDENTE, É, LUIZ, INÁCIO, LULA, DA, SILVA, BOLSONARO, CORRUPTO, BOLSONARO, É, DESORDEM, BOLSONARISMO, DESTRÓI, FAMÍLIAS","#ForaBolsonaroCorrupto, #LulaPresidente1️⃣3️⃣",inácio,,autorizo,eu
@Thanato80012698 @FernandoMagri FAKE NEWS DESMENTIDA Por BOLSONARO,Bolsonaro,,"FAKE, NEWS, DESMENTIDA, BOLSONARO",,,,,
"@Johnsno89373100 @CarlaSv22 @sanhaocensurad1 Ele tá é em@campo pra@eleger nosso Bolsonaro e Jorginho 
Acorda povo https://t.co/nE8G8326yx","Bolsonaro, Jorginho 
acorda",,,,,,,
@Nazar15825695 @otempo Com seu mito o pobre só come osso,@nazar15825695 @otempo,,,,,,,
@JovemPanNews #bolsonaro não abriu as “pernas” para esses políticos sujos!,@jovempannews,,,#bolsonaro,,,,
"@osmar3265 @Pedroso_fs @joelsonpontes06 @LulaOficial Pode listar o que Bolsonaro fez na Bahia, meu estado? Eu sei listar o que o governador (do PT) fez, mesmo sofrendo boicote do governo federal","Bolsonaro, Bahia, Pt",,PT,,,,sei,eu
"@flferronato Convenhamos, o principal problema do Bolsonaro é a repudia dos indecisos aos idólatras Bolsominions","@flferronato convenhamos, Bolsonaro, Bolsominions",,,,,,convenhamos,
@TerraBrasilnot Eu não votei nesse cara! Deram@mais 8 anis p ele trair o Bolsonaro! Meu Deus!,"@terrabrasilnot eu, Bolsonaro, Meu deus",,,,,,,eu
"@rafinhabastos Considerando que na penitenciária fizeram festa quando Lula ultrapassou Bolsonaro, devo entender que esses dois se arrependeram do que fizeram, pagaram por seus crimes e estão prontos para viverem em comunhão com os seus aqui onde tem gente praticando outros tipos de crimes…","Lula, Bolsonaro",,,,,,devo,
@WooHooViviS @JotaPau18520138 @AndreJanonesAdv Pega a bandeira do bozo e sai correndo pela rua...kkk,"@jotapau18520138 @andrejanonesadv, Bozo",,,,,,,
"@marcelvanhattem @joaoamoedonovo @fdavilaoficial @partidonovo30 Se mexer com o seu Bolsonaro, daí você roda a baiana né Marcel?","@partidonovo30, Bolsonaro, Marcel",,,,"daí, marcel",,,
Fluminense tem dois laterais-esquerdos tão ruins - Pineida e Capitão Moldávia - que o Diniz prefere improvisar QUALQUER UM na posição. Não tem ninguém melhor em Xerém?,"Fluminense, Pineida, Capitão moldávia, Diniz, Qualquer um, Xerém",,"QUALQUER, UM",,"croácia, dinis, lateraisesquerdos",,,
@joicehasselmann tá de pé a promessa de ir embora do Brasil após a reeleição do PR Bolsonaro?,"@joicehasselmann, Brasil, Bolsonaro",,PR,,,,,
HILÁRIO: Bolsonaro faz chacota com Bonner e a internet cai na gargalhada! https://t.co/IC4041uhSZ via @YouTube,"Hilário, Bolsonaro, Bonner",,HILÁRIO,,,,,
@gen_heleno Bolsonaro é Satanista e vc também https://t.co/atsoxtHcI7,Bolsonaro,,,,,,,
nesse halloween irei fantasiada de bolsonaro o terror dos brasileiros,"Halloween, Bolsonaro",,,,halloween,,,
"@BlogdoBG Pra criticar Bolsonaro não precisa de fake news, também. Basta pegar meia-dúzia de vídeos com merdas que ele falou.","@blogdobg pra, Bolsonaro",,,,meiadúzia,,,
"@Kassiart96 Onyx NÃO é uma opção!
Tem muito liberal que amadureceu e está votando no Lula, que ele odeia, contra o sociopata do Bolsonaro!
A Esquerda também tem que ser crescidinha e votar nele contra o Bolsonarismo, mesmo que odeie.","@kassiart96 onyx não, Lula, Bolsonaro, Esquerda, Bolsonarismo",,"NÃO, A",,sociopata,,,
@enesia_neta @ptnuncamaisss @AndreJanonesAdv tu quer dizer pra mim que moro no nordeste o que eu deveria agradecer ou não a bolsonaro? fica mesmo acreditando nas mentiras dele pra vcs,Bolsonaro,,,,,,moro,"mim, eu"
@GiordForaBozo @Willianfurl1980 @AndreJanonesAdv Mas não é no c u que Jair toma. Kkkkkkkk,"@willianfurl1980 @andrejanonesadv, C u, Jair, Kkkkkkkk",,,,,,,
"@Fa__Viana @AndreJanonesAdv KKKKKKKKk, o vídeo está errado, esse cara pegou logo a parte em que o Bolsonaro estava falando das Fake news de vocês esquerdistas, é simples pegar uma parte do vídeo e não colocar ele todo. Veja no YouTube aí.","Kkkkkkkkk, Bolsonaro, Fake news, Youtube",,,,youtube,,,
"Para Bolsonaro, é Sírio de Nazaré. Para Ciro Gomes, é Ciro de Nazaré. Para Lula é Círio de Nazaré mesmo...","Bolsonaro, Sírio, Nazaré, Ciro gomes, Ciro de nazaré, Lula, Círio de nazaré",,,,nazaré,,,
Kkkkk é pra caba BOLSONARO 22 https://t.co/1fZXhgH00Z,Kkkkk,,BOLSONARO,,,,,
"Algumas verdades
1 Todos sabiam que Lula não ia poder concorrer em 2018, mesmo assim o lançaram! Era a hora de PT abaixar a crista e apoiar a chapa Ciro-Haddad
2 Todos sabíamos, em setembro, por mais que lutemos pra acontecer, que o segundo turno se daria entre Lula x Bolsonaro","Lula, Pt, Ciro-haddad
2, Lula, Bolsonaro",,PT,,cirohaddad,,"sabíamos, lutemos",
"A CANALHICE DA CAMPANHA DE @acmneto_ 
Associar ele ao @LulaOficial e ao genocida ao mesmo tempo.
O @ptbahia @ptbrasil já viu isso? https://t.co/wuAVOMs7XA","Canalhice da campanha, Associar, @ptbrasil",,"CANALHICE, DA, CAMPANHA, DE, O",,,,,
@mrclaudioaranda @LulaOficial Sai do fake Carlos Bolsonaro,"@mrclaudioaranda, Sai do fake, Carlos bolsonaro",,,,carlos,,,
@DepEduardoCunha Será que o Sr tbm será ministro do Bolsonaro? A gangue estará completa.,"Sr, Bolsonaro",,A,,,,,
"@fabiofaria O Zema sabe das coisas sim!
Não é a toa o Maçonaro gosta tanto dele! 😂😂😂 https://t.co/45aNqmjJbq","@fabiofaria, Zema, Maçonaro","😂, 😂, 😂",O,,,,,
"@PauloJo00470769 No meu, Prezad’e rodeada de mulheres fortes que Sabem o Valor que têm … e se fazem respeitar. #B22","@paulojo00470769, Prezad’e, Sabem o valor, B22",,B22,#B22,,,,
É Jair ou já era ! https://t.co/YW9VJH4kRS,Jair,,,,,,,
"Será o fim do BRASIL dar um ""Cheque em Branco"" para esse esquerdoPaTa Ex-Presidiário Descondenado atualmente solto que vai fazer pior do que fez no passado, ROUBAR literalmente o povo Brasileiro de DEUS HONESTO DECENTE PATRIOTA FAMÍLIA RESPONSÁVEL e TRABALHADOR novamente.🤔🤔🤔🤔 https://t.co/rmekMQQ78P","Brasil, Cheque, Branco, Roubar, Brasileiro de deus honesto decente patriota, Trabalhador","🤔, 🤔, 🤔, 🤔","BRASIL, ROUBAR, DEUS, HONESTO, DECENTE, PATRIOTA, FAMÍLIA, RESPONSÁVEL, TRABALHADOR",,,,,
"@realpfigueiredo Prometeu da mesma forma q teríamos gás de cozinha a 35 e gasolina 2,50?
Quem acredita em Bolsonaro fora da bolha hj?","Prometeu, Bolsonaro",,,,,,teríamos,
@forumpandlr Gays com Bolsonaro pan,"@forumpandlr gays, Bolsonaro pan",,,,,,,
"@GS51019950 @guimaraes13PT @LulaOficial Você quer morrer? Vote em Bolsonaro! 
Vc quer perder a democracia? Vote boxzo! #LulaPresidente1️⃣3️⃣","Vc, Vote boxzo!",,@GS51019950,#LulaPresidente1️⃣3️⃣,,,,
@JordaoDiaz @mariosabinof Ta falando do Bolsonaro? Vagabundo que passou 28 anos parasitando no congresso? E na presidência vive passeando de motinha?,"@mariosabinof, Bolsonaro",,E,,,,vagabundo,
"Crie o seu:

Clique no link abaixo ⬇️ 

https://t.co/Ch0qLTSeIQ 

Bora personalizar nosso apoio ao Capitão. 🇧🇷",Capitão,⬇,,,,,,
"@DenizeAlmeida18 @Dataveniaexc @Lucas74495275 @InstituPatriota Mas de fato mesmo moça houve a transposição e as obras estavam mesmo nesse estágio,Bolsonaro só terminou,levou o crédito,pq os governos anteriores eram incompetentes demais para isso.","@denizealmeida18 @dataveniaexc, Bolsonaro",,,,,,,
"não aguento bolsominion chamando o lula de ditador sendo que quem baba ovo da ditadura militar e pede a volta do AI-5 é o bozo, os filhos e os fãs dele 🤡 https://t.co/mDTQdnidAm","Bolsominion, Ai-5, Bozo, 🤡",🤡,AI-5,,,,aguento,
"Gleisi diz que Zema enganou eleitor com apoio a Bolsonaro: ""Lula estará sempre ao lado do povo mineiro"" https://t.co/ovnnJQb49c","Gleisi, Zema, Bolsonaro, Lula",,,,,,,
"Em apenas 1 minuto entenda a verdadeira face do confisco no governo Fernando Collor, considerado por Tarcísio de Freitas um dos maiores políticos que já tivemos e um grande aliado pra Bolsonaro
-
Baixe o vídeo no Telegram:
https://t.co/wb5AR9kRfP https://t.co/6tLfwBGWHe","Fernando collor, Tarcísio de freitas, Bolsonaro, Telegram",,,,"fernando, psn, tarcísio",,tivemos,
Pedro descarta anuncio de apoio a Bolsonaro no 2º turno: “Decisão de focar na Paraíba será mantida até o dia da eleição” https://t.co/7rr9j29NaL,"Pedro, Bolsonaro, Paraíba",,,,"paraíba, pedro",,,
@JornalOGlobo Zema Governador de Minas é ameaçado por Loola após declarar apoio a Bolsonaro...,"Loola, Bolsonaro",,,,loiola,,,
"@opropriofaka Isso aí, Borá lembrar também do ministro NAZISTA que o Bolsonaro escolheu pra cuidar da educação do país. https://t.co/IDqP2FoFJq","@opropriofaka, Borá, Nazista, Bolsonaro, Https://t.co/idqp2fofjq",,NAZISTA,,,,,
"@reinaldoazevedo Rapaz você disse que o Bolsonaro não saia na foto em 2018 e estava redondamente enganado agora você está comparando ele com o chaves? continua enganado amigo! vai lá vota no ladrão e espere o resultado da eleição, depois de eleito o presidente eleito! você vê o que acontece ok!","@reinaldoazevedo rapaz, Bolsonaro",,,,,,,
"@rmotta2 Sempre tentei entender como Hitler ""chamou"" toda a Alemanha.... Agora com o gado gritando""Mito"", consegui ter uma ideia do acontecido em 1933.....","@rmotta2, Hitler, Alemanha",,,,alemanha,,"tentei, consegui",
"@LulaOficial Lula: Bolsonaro já deixou seu sangue, suor, lágrimas e espírito no Congresso. Acabou","@lulaoficial lula, Bolsonaro, Congresso",,,,,,,
"@mariosabinof Pô, agora cara pálida!!!! Já sabíamos tá inviabilidade da dita, chamada, aclamada terceira via. Agora, e só agora tu vem com essa. A opção sempre foi por Bolsonaro, e não por ele, mas pelo Brasil! Agora corre atrás do prejuízo!! Ótimo, que seja assim então.","@mariosabinof, Bolsonaro, Brasil",,A,,,"""!"": 0",sabíamos,
