tweet,autoridades,emojis,caixa_alta,hashtags,termos_tecnicos,repeticoes_pontuacao,verbos_primeira_pessoa,pronomes_primeira_pessoa
"Na abertura da 43ª Oktoberfest, público exalta Bolsonaro após o hino nacional: ""Mito, mito""; VEJA VÍDEO https://t.co/FdkLDfEVp1","Oktoberfest, Bolsonaro, Veja",,"VEJA, VÍDEO",,,,,
@BrazilFight Vamos atender ao pedido do Presidente Bolsonaro. ✌️🇧🇷,"@brazilfight vamos, Presidente bolsonaro",✌,,,,,,
"@conservadoresb_ Tentou abortar o Jair Renan que foi registrado como pai desconhecido e apenas após o DNA foi reconhecido. Renan foi concebido quando bolsonaro e sua mãe eram casados com outras pessoas, ele foi fruto de uma traição dupla. https://t.co/diUTj3jBBe","@conservadoresb, Jair renan, Renan, Bolsonaro",,DNA,,,,,
"@direitasiqueira Coronel venha você também fazer parte da igreja que fundei Assembleia do Mito … aqui somos maçom , católico , evangélico … cultos on-line  e o dízimo é pago e recebido em dinheiro pelo Queiroz .","Assembleia do mito, Queiroz",,,,,,fundei,
@manuelitaalves @RogriaFranca1 @ThiagoResiste @LulaOficial @ricardostuckert Bolsonaro NELES !!!!!! 🙌🇧🇷😎,"@manuelitaalves, @ricardostuckert","🙌, 😎",NELES,,,"""!"": 0",,
Maluco faz um storie apoiando o bolsonaro e dps posta uma letra de rap🤦🏾‍♂️🤦🏾‍♂️,"Maluco, Bolsonaro","🤦, 🏾, ♂, 🤦, 🏾, ♂",,,,,,
@SonOffTheSun É pq otaku baba ovo de qualquer personagem sadboy com caráter duvidoso e genocida.,,,É,,,,,
@Maufalavigna Você acha certo divulgar que o Mito queria comer índio cozido com banana? Entenda uma coisa: este vídeo está proibido 🚫!!!!! Proibido 🚫 !!!! https://t.co/9KqYB5LXPJ,Mito,"🚫, 🚫",,,,"""!"": 0",,
o jair bolsonaro saiu do Canadá só pra ir  no aniversário da amada michelle boslonara,"Jair bolsonaro, Canadá, Michelle boslonara",,,,"canadá, michelle",,,
"@marciatiburi O vice governador da Bahia saiu fora da desgraça PT e declarou voto ao MITO , agora o desespero aumenta,KKKKKK","Bahia, Pt, Mito, Kkkkkk",,"O, PT, MITO, KKKKKK",,,,,
"O cara tem filho com as duas, mito demais! https://t.co/ewwQrDDdSt",,,,,,,,
@felipecamozzato nem vou ler pq sei q é do Novo e vai fazer uma ginástica de argumentos para declarar apoio ao Bolsonaro,"Novo, Bolsonaro",,,,,,sei,
"Tenho plena convicção de que os quatro anos que tivemos com Bolsonaro no poder, com pandemia e tudo, foi só um ensaio do que está por vir aí. Será simplesmente devastador.

Mas ainda tenho esperança de que nossa classe artística e acadêmica, até dia 30, nos salvará...",Bolsonaro,,,,,,"tenho, tivemos, tenho",nos
"@Eduardo93665560 @albuquerque_af 😂😂😂 isso desde o início da campanha eleitoral, o vice de Rui apoiou ACM Neto, que apoiou Bolsonaro escondido, igual o candidato do Ciro Nogueira no Piauí, só no final que ficou claro o apoio, resultado, derrota no primeiro turno.","@albuquerque_af, Rui, Acm neto, Bolsonaro, Ciro nogueira, Piauí","😂, 😂, 😂",ACM,,piauí,,,
"@fabiowoficial E isso é ameaçar a POUPANÇA?

BOLSONARO É COLLOR
COLLOR É BOLSONARO https://t.co/FN36blIcmB","@fabiowoficial, Poupança?, Bolsonaro https://t.co/fn36blicmb",,"E, POUPANÇA, BOLSONARO, É, COLLOR, COLLOR, É, BOLSONARO",,,,,
@emirsader esse o mito deles,@emirsader,,,,,,,
"@Amel43 Veja q/o discurso é o mesmo do Bozo! Ñ esqueça que o Bozo disse que é preferível morrer do que perder a liberdade, ou seja, morram pela liberdade empunhando uma arma na mão! Bananinha já deu a letra dizendo que ñ podem controlar as pessoas caos queiram invadir Brasília ou lutar.","@amel43 veja, Bozo!, Bozo, Bananinha, Brasília",,Ñ,,brasília,,,
"@reinaldoazevedo O forte do chiste foi o “apesar das falcatruas”. STF perseguindo e prendendo apoiador, ele não viu. Tb não viu o TSE proibindo tudo e mais um pouco da campanha do Jair e nem o malabarismo Juridico para reabilitar um criminoso corrupto.","@reinaldoazevedo, Stf, Tb, Tse, Jair, Juridico",,"O, STF, TSE",,,,,
"@oicecily na minha família Bolsonaro só meu pai, e ele mora há 1000km de distância","@oicecily, Bolsonaro",,,,,,,
"@lauramariotto @Igor18381 @luizfn87 @SF_Moro @deltanmd Votar Nulo e no Lula é condenar o que resta da lava jato a prisão. 

Eu prefiro votar no Bolsonaro e entregar em 2026 um Brasil igual hoje para o proximo presidente do que correr o risco de o Lula voltar e eu ter que abandonar o Brasil com meus filhos. 

Pense com carinho nisso.","@lauramariotto @igor18381 @luizfn87, Lula, Bolsonaro, Brasil, Lula, Brasil",,,,,,prefiro,"eu, eu"
@eulersilvacosta @michel_1307 @emicida @StaMusica_ O cara canta Rap… Tu acha que ele vai apoiar o Bozo?,"Rap…, Bozo?",,O,,,,,
@andrebnu É Bozo assuma!,"@andrebnu, Bozo",,É,,,,,
"@rafaspoliveira @TerraBrasilnot O bom é que o Bolsonaro já ganhou no 1⁰ turno, e espero que tudo o que eles fizerem não o impeça de ganhar no 2⁰ turno, então, ajudar não é bem o termo, basta não atrapalhar.",Bolsonaro,,O,,,,espero,
